backbone,elapsed_seconds,forget_batch_size,forget_split,learning_rate,mean_damage,mean_pi,model_name,pearson,probe_batches,probe_learning_rate,retain_split,run,seed,spearman,summary_path,top0.05_damage_lift,top0.05_damage_ratio,top0.05_enrichment,top0.05_precision,top0.05_pred_damage,top0.05_random_damage,top0.1_damage_lift,top0.1_damage_ratio,top0.1_enrichment,top0.1_precision,top0.1_pred_damage,top0.1_random_damage,top0.2_damage_lift,top0.2_damage_ratio,top0.2_enrichment,top0.2_precision,top0.2_pred_damage,top0.2_random_damage,train_loss_first,train_loss_last,train_steps
GradAscent,126.08238577842712,1,forget01,1e-06,0.06090408930182457,0.0033099137619137763,Llama-2-7b-chat-hf,0.6820917279902036,4,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb1_pb4_full_65548_36,0,0.7060698981709486,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb1_pb4_full_65548_36/summary.json,0.08856255468130111,2.471202223088992,10.4,0.52,0.14875995874404907,0.060197404062747956,0.06818641245663165,2.1285711091809785,5.6000000000000005,0.56,0.12860476970672607,0.060418357250094416,0.047725904649496075,1.7846992950438596,2.8499999999999996,0.57,0.10854653358459472,0.060820628935098646,-0.32884442806243896,-0.43322521448135376,40
GradAscent,192.81810069084167,1,forget01,1e-06,0.06023394230008125,0.0022344929203391077,Llama-2-7b-chat-hf,0.5654940137503015,8,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb1_pb8_full_65549_37,0,0.5905738182952731,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb1_pb8_full_65549_37/summary.json,0.07065551592111588,2.1897666691087774,8.799999999999999,0.44,0.13004154324531556,0.059386027324199675,0.05752975869774818,1.9632569025558537,4.8,0.48,0.11725396990776062,0.05972421121001244,0.04245456579476595,1.7058124859373252,2.7,0.54,0.1026044875383377,0.060149921743571755,-0.3286120891571045,-0.4325091540813446,40
GradAscent,126.00942897796631,2,forget01,1e-06,0.08331426069140434,0.002030169926583767,Llama-2-7b-chat-hf,0.5120296132922105,4,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb2_pb4_full_65551_38,0,0.5137623750495002,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb2_pb4_full_65551_38/summary.json,0.11198608644902706,2.3622255243276387,8.799999999999999,0.44,0.19419427037239076,0.0822081839233637,0.07938545400798322,1.9619961267207997,5.0,0.5,0.16190704822540283,0.08252159421741961,0.05587279647216199,1.6713511479864227,2.4499999999999997,0.49,0.1390971964597702,0.08322439998760821,-0.3853803277015686,-0.5979272723197937,40
GradAscent,193.18877148628235,2,forget01,1e-06,0.08342465507984162,0.0014770643301308154,Llama-2-7b-chat-hf,0.3915510816032247,8,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb2_pb8_full_65552_39,0,0.37650352201408804,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed0_fb2_pb8_full_65552_39/summary.json,0.09925719579458236,2.2070339513908377,8.0,0.4,0.18148951053619386,0.0822323147416115,0.06783351041078567,1.8205983355916864,3.8,0.38,0.150496985912323,0.08266347550153733,0.049378662704676404,1.5930239078755228,2.4,0.48,0.13264455139636994,0.08326588869169353,-0.3826330006122589,-0.596217155456543,40
GradAscent,125.47758626937866,1,forget01,1e-06,0.06113826844096184,0.003186100460588932,Llama-2-7b-chat-hf,0.6475545633129804,4,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb1_pb4_full_65553_40,1,0.6824328417313669,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb1_pb4_full_65553_40/summary.json,0.07663075612187387,2.2434707857944653,9.6,0.48,0.1382572591304779,0.06162650300860404,0.05984508494734764,1.9857952231262062,4.8,0.48,0.12055250525474548,0.06070742030739784,0.042030753966420885,1.683821557576902,2.75,0.55,0.10349525958299637,0.06146450561657548,-0.49031782150268555,-0.8660877346992493,40
GradAscent,191.82464790344238,1,forget01,1e-06,0.06138763418793678,0.0023556963838636874,Llama-2-7b-chat-hf,0.5763680721295383,8,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb1_pb8_full_65554_41,1,0.6094170616682466,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb1_pb8_full_65554_41/summary.json,0.07287379542589187,2.179717842513988,8.0,0.4,0.1346460199356079,0.06177222450971603,0.05759182443469763,1.9453052194081644,5.0,0.5,0.11851587653160095,0.06092405209690332,0.04015468234121799,1.6503256107589155,2.7,0.54,0.10190018594264984,0.06174550360143185,-0.4877264201641083,-0.8534532189369202,40
GradAscent,124.09548807144165,2,forget01,1e-06,0.0759306527376175,0.0024314251989126204,Llama-2-7b-chat-hf,0.5584262164499663,4,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb2_pb4_full_65556_42,1,0.5614182136728547,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb2_pb4_full_65556_42/summary.json,0.0906997881382704,2.1855154689929095,9.6,0.48,0.16720641374588013,0.07650662560760974,0.0702779933989048,1.9326319225624442,5.2,0.52,0.14563247323036194,0.07535447983145714,0.0470717339143157,1.616622079822904,2.55,0.51,0.12340979486703872,0.07633806095272302,-0.4148876965045929,-0.47308486700057983,40
GradAscent,190.7433319091797,2,forget01,1e-06,0.07548978966474533,0.001999890971928835,Llama-2-7b-chat-hf,0.5086422519458709,8,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb2_pb8_full_65559_43,1,0.5102973371893488,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed1_fb2_pb8_full_65559_43/summary.json,0.08450738479197026,2.112673619925586,7.199999999999999,0.36,0.16045722603797913,0.07594984124600887,0.06208553463667632,1.828263394077652,4.0,0.4,0.1370442193746567,0.07495868473798037,0.04326322334855795,1.570061138831138,2.6,0.52,0.11915547490119933,0.07589225155264138,-0.4178597927093506,-0.4694284200668335,40
GradAscent,120.69395327568054,1,forget01,1e-06,0.06017826822400093,0.002157291501760483,Llama-2-7b-chat-hf,0.4199731726210291,4,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb1_pb4_full_65561_44,2,0.43381488725954903,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb1_pb4_full_65561_44/summary.json,0.07106205873787401,2.1921647933629367,8.0,0.4,0.13066963911056517,0.05960758037269116,0.05058957558870315,1.8430208308989464,4.3999999999999995,0.44,0.11059945166110992,0.060009876072406765,0.03572854976430535,1.5913899099859181,2.4499999999999997,0.49,0.09614309042692185,0.06041454066261649,-0.33326011896133423,-0.45416656136512756,40
GradAscent,186.43183660507202,1,forget01,1e-06,0.05999281415343285,0.00222199859470129,Llama-2-7b-chat-hf,0.5089006444351636,8,1e-06,retain99,Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb1_pb8_full_65562_45,2,0.48285735542942176,results/piper_pi_probe/Llama-2-7b-chat-hf_forget01_retain99_GradAscent_seed2_fb1_pb8_full_65562_45/summary.json,0.0784536454051733,2.3218117674974543,8.0,0.4,0.13780676007270812,0.059353114667534825,0.0554126876309514,1.9268260608800074,5.4,0.54,0.11520026803016663,0.05978758039921523,0.040310348689556116,1.6694056178752237,2.75,0.55,0.10052846997976303,0.060218121290206914,-0.33208727836608887,-0.4525308609008789,40
