backbone,cost_elapsed_seconds,cost_pi_seconds,cost_ref_kl_precompute_seconds,cost_ref_logprob_samples,cost_train_seconds,forget_batch_size,forget_count,forget_mean_answer_prob_delta,forget_mean_base_loss,forget_mean_damage,forget_mean_final_loss,forget_sample_size,forget_split,gradient_checkpointing,kl_lambda,learning_rate,local_method_selection_count,local_method_selection_mean_answer_prob_delta,local_method_selection_mean_base_loss,local_method_selection_mean_damage,local_method_selection_mean_final_loss,local_pi_topk_count,local_pi_topk_mean_answer_prob_delta,local_pi_topk_mean_base_loss,local_pi_topk_mean_damage,local_pi_topk_mean_final_loss,local_random_topk_count,local_random_topk_mean_answer_prob_delta,local_random_topk_mean_base_loss,local_random_topk_mean_damage,local_random_topk_mean_final_loss,local_semantic_topk_count,local_semantic_topk_mean_answer_prob_delta,local_semantic_topk_mean_base_loss,local_semantic_topk_mean_damage,local_semantic_topk_mean_final_loss,method,model_name,npo_beta,optimizer,probe_batches,probe_learning_rate,retain_all_count,retain_all_mean_answer_prob_delta,retain_all_mean_base_loss,retain_all_mean_damage,retain_all_mean_final_loss,retain_candidate_size,retain_split,run,seed,selection_method_count,selection_pi_count,selection_pi_random_overlap_rate,selection_pi_semantic_overlap_rate,selection_random_count,selection_semantic_count,selection_semantic_random_overlap_rate,summary_path,topk_count,topk_frac,train_first_local_kl_loss,train_first_npo_loss,train_first_step,train_first_total_loss,train_last_local_kl_loss,train_last_npo_loss,train_last_step,train_last_total_loss,train_steps
NPO,226.69834351539612,34.09530806541443,0.0,0,41.08742594718933,1,128,-0.4583685745849527,0.4619713416323066,1.4184928685426712,1.8804642101749778,128,forget10,True,0.0,1e-05,0,,,,,50,-0.35175660916436885,0.9871691691875458,2.74918820977211,3.7363573789596556,50,-0.41374244655798537,0.5332967060804367,1.43254844725132,1.9658451533317567,50,-0.43002908489843183,0.5664774742722511,1.638981005847454,2.205458480119705,baseline,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.43312684692233094,0.5047782109975815,1.403435533285141,1.9082137442827225,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_baseline_lambda0.0_seed0_66609_0,0,0,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_baseline_lambda0.0_seed0_66609_0/summary.json,50,0.1,0.0,13.887019157409668,1,13.887019157409668,0.0,0.04540744796395302,80,0.04540744796395302,80
NPO,175.26973509788513,28.809325218200684,0.0,0,39.93637824058533,1,128,-0.47113091330092194,0.44434846087824553,1.413689081207849,1.8580375420860946,128,forget10,True,0.0,1e-05,0,,,,,50,-0.36287010879603426,0.956279507279396,2.6280233711004257,3.584302878379822,50,-0.45032676218836704,0.46840941935777664,1.37849938839674,1.8469088077545166,50,-0.44974275203619457,0.5476001426577568,1.6453923228383065,2.1929924654960633,baseline,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4552119990167768,0.4877548138797283,1.4463087960779666,1.934063609957695,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_baseline_lambda0.0_seed1_66639_13,1,0,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_baseline_lambda0.0_seed1_66639_13/summary.json,50,0.1,0.0,13.699517250061035,1,13.699517250061035,0.0,0.10745235532522202,80,0.10745235532522202,80
NPO,176.69011878967285,29.03793215751648,0.0,0,40.51002311706543,1,128,-0.5070192108176604,0.45028283179271966,1.74702067009639,2.1973035018891096,128,forget10,True,0.0,1e-05,0,,,,,50,-0.3890694983893741,0.9466656625270844,3.5433039581775665,4.489969620704651,50,-0.4915249528258305,0.4827517464756966,1.7843380877375603,2.267089834213257,50,-0.4871552629417788,0.5322937923669815,1.9974746412038804,2.5297684335708617,baseline,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.49369222064499607,0.48836109206080436,1.8184109331667424,2.3067720252275468,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_baseline_lambda0.0_seed2_66702_26,2,0,50,0.1,0.12,50,50,0.16,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_baseline_lambda0.0_seed2_66702_26/summary.json,50,0.1,0.0,13.930416107177734,1,13.930416107177734,0.0,0.02108241245150566,80,0.02108241245150566,80
NPO,208.5799195766449,28.961111068725586,19.133971452713013,500,55.03926134109497,1,128,-0.456397282921871,0.4619713416323066,1.406745647545904,1.8687169891782105,128,forget10,True,0.1,1e-05,500,-0.43099802414062327,0.5047782109975815,1.3923547378778458,1.8971329488754272,50,-0.35143428403355814,0.9871691691875458,2.7402690041065214,3.7274381732940673,50,-0.4104125038788662,0.5332967060804367,1.4167009633779526,1.9499976694583894,50,-0.42781004082288887,0.5664774742722511,1.628570781648159,2.19504825592041,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.43099802414062327,0.5047782109975815,1.3923547378778458,1.8971329488754272,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.1_seed0_66613_1,0,500,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.1_seed0_66613_1/summary.json,50,0.1,-3.703391371345788e-07,13.887019157409668,1,13.887019157409668,0.007378453388810158,0.06306306272745132,80,0.06380090862512589,80
NPO,208.51372718811035,28.86447262763977,19.225367784500122,500,54.876410722732544,1,128,-0.4689098416992417,0.44434846087824553,1.4005309833446518,1.8448794442228973,128,forget10,True,0.1,1e-05,500,-0.45240339924221146,0.4877548138797283,1.43026229301095,1.9180171068906784,50,-0.3626634705467234,0.956279507279396,2.6214390367269518,3.5777185440063475,50,-0.4479006038815608,0.46840941935777664,1.3668827733397484,1.835292192697525,50,-0.4471019830454164,0.5476001426577568,1.6321728566288949,2.1797729992866515,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.45240339924221146,0.4877548138797283,1.43026229301095,1.9180171068906784,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.1_seed1_66644_14,1,500,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.1_seed1_66644_14/summary.json,50,0.1,-1.5067079175423714e-06,13.699517250061035,1,13.699517250061035,0.021808631718158722,0.13878101110458374,80,0.14096187055110931,80
NPO,207.90713143348694,28.58705186843872,19.07925844192505,500,54.77658128738403,1,128,-0.4969426482308872,0.45028283179271966,1.6607886644778773,2.111071496270597,128,forget10,True,0.1,1e-05,500,-0.4827910945767441,0.48836109206080436,1.7190623258650304,2.2074234179258347,50,-0.38606080005655147,0.9466656625270844,3.3584395372867584,4.305105199813843,50,-0.4798791555674671,0.4827517464756966,1.6886268731951715,2.1713786196708678,50,-0.4750333832241887,0.5322937923669815,1.8808073419332505,2.413101134300232,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4827910945767441,0.48836109206080436,1.7190623258650304,2.2074234179258347,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.1_seed2_66703_27,2,500,50,0.1,0.12,50,50,0.16,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.1_seed2_66703_27/summary.json,50,0.1,-1.0095043307956075e-06,13.930416107177734,1,13.930416107177734,0.9033666849136353,0.03116719424724579,80,0.12150386720895767,80
NPO,207.90228128433228,28.65419292449951,19.14175057411194,500,55.034754514694214,1,128,-0.454409729421276,0.4619713416323066,1.3960781223140657,1.8580494639463723,128,forget10,True,0.3,1e-05,500,-0.42835391067658035,0.5047782109975815,1.3799781877398491,1.8847563987374305,50,-0.3514101553745167,0.9871691691875458,2.737414914369583,3.724584083557129,50,-0.4082082819417362,0.5332967060804367,1.408723071217537,1.9420197772979737,50,-0.42685153833912054,0.5664774742722511,1.6248874804377555,2.1913649547100067,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.42835391067658035,0.5047782109975815,1.3799781877398491,1.8847563987374305,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.3_seed0_66616_2,0,500,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.3_seed0_66616_2/summary.json,50,0.1,-3.703391371345788e-07,13.887019157409668,1,13.887019157409668,0.006678095553070307,0.05748279392719269,80,0.05948622152209282,80
NPO,208.1532027721405,28.62843608856201,19.147438049316406,500,54.98322319984436,1,128,-0.46348181685062284,0.44434846087824553,1.3716525334166363,1.8160009942948818,128,forget10,True,0.3,1e-05,500,-0.4463599129847121,0.4877548138797283,1.3958063491880894,1.8835611630678177,50,-0.3617765846275796,0.956279507279396,2.6028241294622423,3.559103636741638,50,-0.44142564964831316,0.46840941935777664,1.334024382531643,1.8024338018894195,50,-0.44139517148067,0.5476001426577568,1.5992284587025642,2.146828601360321,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4463599129847121,0.4877548138797283,1.3958063491880894,1.8835611630678177,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.3_seed1_66647_15,1,500,50,0.12,0.18,50,50,0.12,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.3_seed1_66647_15/summary.json,50,0.1,-1.5067079175423714e-06,13.699517250061035,1,13.699517250061035,0.018832288682460785,0.17176130414009094,80,0.17741098999977112,80
NPO,208.72954988479614,28.97840929031372,18.955392837524414,500,54.69580960273743,1,128,-0.48929377714421424,0.45028283179271966,1.600571094895713,2.0508539266884327,128,forget10,True,0.3,1e-05,500,-0.47191140391660374,0.48836109206080436,1.6290402937233448,2.117401385784149,50,-0.381894224749932,0.9466656625270844,3.19192098736763,4.138586649894714,50,-0.46745851589682597,0.4827517464756966,1.596438009440899,2.0791897559165955,50,-0.46550649961726626,0.5322937923669815,1.7946238917112352,2.3269176840782166,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.47191140391660374,0.48836109206080436,1.6290402937233448,2.117401385784149,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.3_seed2_66706_28,2,500,50,0.1,0.12,50,50,0.16,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda0.3_seed2_66706_28/summary.json,50,0.1,-1.0095043307956075e-06,13.930416107177734,1,13.930416107177734,0.8034626245498657,0.03655003011226654,80,0.2775888442993164,80
NPO,205.29942226409912,28.126675844192505,18.843953371047974,500,54.099929094314575,1,128,-0.4539047135840908,0.4619713416323066,1.3923537996597588,1.8543251412920654,128,forget10,True,1.0,1e-05,500,-0.4261481284332117,0.5047782109975815,1.369042692422867,1.8738209034204483,50,-0.35142147609551616,0.9871691691875458,2.737217103242874,3.72438627243042,50,-0.4048996543068268,0.5332967060804367,1.3882608336210251,1.9215575397014617,50,-0.4256403365821265,0.5664774742722511,1.6134235402941703,2.1799010145664215,global_retain_kl,Llama-2-7b-chat-hf,0.1,paged_adamw_32bit,64,1e-05,500,-0.4261481284332117,0.5047782109975815,1.369042692422867,1.8738209034204483,500,retain90,Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda1.0_seed0_66619_3,0,500,50,0.16,0.18,50,50,0.08,results/piper_intervention/Llama-2-7b-chat-hf_forget10_retain90_NPO_global_retain_kl_lambda1.0_seed0_66619_3/summary.json,50,0.1,-3.703391371345788e-07,13.887019157409668,1,13.887019157409668,0.007489645853638649,0.07016333937644958,80,0.07765298336744308,80
