method,seed,model,forget_split,bridge_prior,bridge_lambda_g,bridge_lambda_b,forget_quality,model_utility,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,mean_retain_kl,worst_k_retain_kl,prior_weighted_kl,boundary_dro,prior_seconds,train_dir,eval_dir,status,extraction_strength,privleak
bridge_history_dro,0,Llama-3.2-1B-Instruct,forget10,history,0.1,0.3,1.830133064154361e-05,0.36143992822006527,0.6613881869905015,0.1671992916218005,0.16862703250603167,1.0136675834655762,1.3845479488372803,0.9907288551330566,1.02126145362854,0.0,results/bridge_initial/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_history_dro_seed0_postfix_1b_v2,results/bridge_initial_eval/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_history_dro_seed0_postfix_1b_v2_tofu_eval,eval_complete,0.08253872473150092,-53.65046262620308
bridge_refresh_gs_dro,0,Llama-3.2-1B-Instruct,forget10,refresh_gs,0.1,0.3,1.830133064154361e-05,0.3523288354551932,0.663501979444919,0.16273979268269614,0.16744841848119596,1.02226984500885,1.3747632503509521,1.02226984500885,1.0493873357772827,0.0,results/bridge_initial/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_refresh_gs_dro_seed0_postfix_1b_v2,results/bridge_initial_eval/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_refresh_gs_dro_seed0_postfix_1b_v2_tofu_eval,eval_complete,0.07872366375436285,-51.32918952014266
bridge_refresh_pi_dro,0,Llama-3.2-1B-Instruct,forget10,refresh_pi,0.1,0.3,1.2955312948811258e-05,0.3469143689300957,0.6638622429187572,0.16250297983991913,0.17416754499472176,1.0439083576202393,1.3774406909942627,1.0439083576202393,1.0705440044403076,0.0,results/bridge_initial/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_refresh_pi_dro_seed0_postfix_1b_v2,results/bridge_initial_eval/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_refresh_pi_dro_seed0_postfix_1b_v2_tofu_eval,eval_complete,0.08253441817980392,-52.620922831670406
bridge_uniform_dro,0,Llama-3.2-1B-Instruct,forget10,uniform,0.1,0.3,9.12384805543942e-06,0.3600468892492558,0.6623777074288485,0.16289284696802497,0.1697403638781341,1.013702154159546,1.370752215385437,1.013702154159546,1.0395643711090088,0.0,results/bridge_initial/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_uniform_dro_seed0_postfix_1b_v2,results/bridge_initial_eval/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_bridge_uniform_dro_seed0_postfix_1b_v2_tofu_eval,eval_complete,0.08306144435962201,-51.27047436961867
npo_global_kl,0,Llama-3.2-1B-Instruct,forget10,none,0.1,0.0,0.0001305755477065129,0.2827100700014132,0.678631010500717,0.1095404693169985,0.149109591143495,1.3720250129699707,1.750609278678894,1.3720250129699707,0.0,0.0,results/bridge_initial/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_npo_global_kl_seed0_postfix_1b_v2,results/bridge_initial_eval/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_npo_global_kl_seed0_postfix_1b_v2_tofu_eval,eval_complete,0.06651709488781793,-30.418497292151443
npo,0,Llama-3.2-1B-Instruct,forget10,none,0.0,0.0,3.089852009867272e-06,0.415218763121806,0.6237957543534352,0.2218604496883927,0.1630814353909836,,,,,,results/bridge_initial/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_npo_seed0_postfix_1b_v2,results/bridge_initial_eval/BRIDGE_TOFU_forget10_Llama_3_2_1B_Instruct_npo_seed0_postfix_1b_v2_tofu_eval,eval_complete,0.09585841452925205,-67.44143668807008
