method,n_runs,collapsed_before_high_fq_runs,collapsed_runs,forget_Q_A_Prob_max,forget_Q_A_Prob_mean,forget_Q_A_Prob_min,forget_Q_A_ROUGE_max,forget_Q_A_ROUGE_mean,forget_Q_A_ROUGE_min,forget_quality_max,forget_quality_mean,forget_quality_min,forget_truth_ratio_max,forget_truth_ratio_mean,forget_truth_ratio_min,low_mu_runs,model_utility_max,model_utility_mean,model_utility_min
GradAscent,4,4,4,3.564582861774246e-35,8.911484879413873e-36,0.0,0.003936809747043206,0.0009842024367608016,0.0,1.0635896769518578e-239,1.0635896769518578e-239,1.0635896769518578e-239,1.5891990124133958e-25,3.973027493965447e-26,3.2318045728377025e-48,4,0.0,0.0,0.0
GradDiff,4,4,4,7.838955440320206e-10,1.9597388600800515e-10,7.16764164502144e-45,0.005371964673611083,0.0025428953703055188,0.0,4.31064496610447e-223,2.155322933454826e-223,8.508717415614862e-237,0.002151153075227552,0.0006186096366455782,1.457765238227206e-07,0,0.6094609871478666,0.529785718267796,0.35508866435973496
NPO,4,0,0,0.12475452711805701,0.10848656576126472,0.06806892117782354,0.2917846491609919,0.26164679353002207,0.2489186498898565,0.415788823500893,0.12946504161036598,0.01260422744087484,0.7261864091452054,0.6694998499966325,0.6287897381933368,0,0.6020363859850318,0.5490786498995959,0.5237756564057219
SimNPO,4,0,0,0.5795098892226815,0.5239362935861572,0.4636401028372347,0.4922810901620963,0.48550039179329807,0.4754377587925342,5.805666105234786e-14,1.8545755196409924e-14,1.4921665744660114e-16,0.5784671131802342,0.5403535014101103,0.5186570000381261,0,0.6396603572475014,0.605278300345789,0.5773411428089305
