averaged_pi_pearson,averaged_pi_spearman,averaged_pi_top0.05_damage_lift,averaged_pi_top0.05_enrichment,averaged_pi_top0.05_pred_damage,averaged_pi_top0.05_random_damage,averaged_pi_top0.1_damage_lift,averaged_pi_top0.1_enrichment,averaged_pi_top0.1_pred_damage,averaged_pi_top0.1_random_damage,averaged_pi_top0.2_damage_lift,averaged_pi_top0.2_enrichment,averaged_pi_top0.2_pred_damage,averaged_pi_top0.2_random_damage,avg_set_pearson,avg_set_spearman,avg_set_top0.05_overlap_rate,avg_set_top0.1_overlap_rate,avg_set_top0.2_overlap_rate,backbone,elapsed_seconds,forget_answer_mean_token_prob_delta_mean,forget_base_answer_mean_token_prob_mean,forget_base_loss_mean,forget_batch_size,forget_final_answer_mean_token_prob_mean,forget_final_loss_mean,forget_loss_delta_mean,forget_split,learning_rate,mean_damage,mean_pi,model_name,pearson,probe_batches,probe_learning_rate,retain_split,run,seed,semantic_baseline_pearson,semantic_baseline_spearman,semantic_baseline_top0.05_damage_lift,semantic_baseline_top0.05_enrichment,semantic_baseline_top0.05_pred_damage,semantic_baseline_top0.05_random_damage,semantic_baseline_top0.1_damage_lift,semantic_baseline_top0.1_enrichment,semantic_baseline_top0.1_pred_damage,semantic_baseline_top0.1_random_damage,semantic_baseline_top0.2_damage_lift,semantic_baseline_top0.2_enrichment,semantic_baseline_top0.2_pred_damage,semantic_baseline_top0.2_random_damage,set_gradient_pi_pearson,set_gradient_pi_spearman,set_gradient_pi_top0.05_damage_lift,set_gradient_pi_top0.05_enrichment,set_gradient_pi_top0.05_pred_damage,set_gradient_pi_top0.05_random_damage,set_gradient_pi_top0.1_damage_lift,set_gradient_pi_top0.1_enrichment,set_gradient_pi_top0.1_pred_damage,set_gradient_pi_top0.1_random_damage,set_gradient_pi_top0.2_damage_lift,set_gradient_pi_top0.2_enrichment,set_gradient_pi_top0.2_pred_damage,set_gradient_pi_top0.2_random_damage,spearman,summary_path,top0.05_damage_lift,top0.05_damage_ratio,top0.05_enrichment,top0.05_precision,top0.05_pred_damage,top0.05_random_damage,top0.1_damage_lift,top0.1_damage_ratio,top0.1_enrichment,top0.1_precision,top0.1_pred_damage,top0.1_random_damage,top0.2_damage_lift,top0.2_damage_ratio,top0.2_enrichment,top0.2_precision,top0.2_pred_damage,top0.2_random_damage,train_loss_first,train_loss_last,train_steps
0.7892223786379806,0.6535190620762482,1.248188862207532,14.399999999999999,2.486400281190872,1.2382114189833402,0.8684519177764654,6.6,2.111255744099617,1.2428038263231516,0.5412447202600539,3.25,1.7817356665432453,1.2404909462831915,0.7480830062864563,0.48714316026407695,0.76,0.7,0.54,NPO,693.137656211853,-0.5157592840582732,0.6580926495036911,0.425482913851738,1,0.14233336544541783,2.0482350677251815,1.6227521538734435,forget01,1e-05,1.2404192081987857,0.1740466520510614,Llama-2-7b-chat-hf,0.7892223786379806,128,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb128_both_65990_4,0,0.13101279943664962,0.10275314701258806,0.14145249405801286,0.7999999999999999,1.377069398164749,1.2356169041067362,0.1410455536663533,1.5999999999999999,1.3838853096961976,1.2428397560298443,0.0771259108036757,1.0499999999999998,1.3154735797643662,1.2383476689606905,0.9001789081987304,0.7806754774381214,1.4004800221145153,18.4,2.641611738204956,1.2411317160904407,1.0123051006242632,8.6,2.247247238755226,1.2349421381309629,0.6387918730668725,3.8,1.8800321847200394,1.241240311653167,0.6535190620762482,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb128_both_65990_4/summary.json,1.2534972794741392,2.0167038913269986,14.399999999999999,0.72,2.486400281190872,1.2329030017167328,0.8784742596328259,1.7125952739408543,6.6,0.66,2.111255744099617,1.232781484466791,0.5395508824460209,1.4343563770491257,3.25,0.65,1.7817356665432453,1.2421847840972244,14.084490776062012,0.11748187988996506,80
0.7381872820085958,0.6360279841119365,1.0982047904640435,10.4,2.3341217279434203,1.2359169374793768,0.8232090957373381,5.799999999999999,2.063781088590622,1.240571992853284,0.5326308634974064,3.0999999999999996,1.7711143542826175,1.2384834907852111,0.6744227249854502,0.4344120096480386,0.56,0.64,0.51,NPO,299.91353821754456,-0.515927116397292,0.6580926495036911,0.425482913851738,1,0.14216553310639896,2.0523054212331773,1.6268225073814393,forget01,1e-05,1.2385109930336475,0.13907975146919488,Llama-2-7b-chat-hf,0.7381872820085958,16,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb16_both_65979_1,0,0.13472342444154428,0.10519136476545907,0.1464887712925671,0.7999999999999999,1.3797730243206023,1.2332842530280352,0.15259025457501418,1.5999999999999999,1.3936831629276276,1.2410929083526134,0.08011001679599294,1.0999999999999999,1.3163267934322358,1.2362167766362429,0.8911211263908305,0.7579464557858231,1.3966661969602108,18.4,2.6364533925056457,1.239787195545435,1.0000436696693302,8.2,2.2334040933847428,1.2333604237154125,0.6222587311945855,3.75,1.861572382748127,1.2393136515535415,0.6360279841119365,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb16_both_65979_1/summary.json,1.1030139718025922,1.8959524187064067,10.4,0.52,2.3341217279434203,1.2311077561408281,0.83284491122365,1.6765947142809166,5.799999999999999,0.58,2.063781088590622,1.230936177366972,0.5306395885162054,1.4277713688019733,3.0999999999999996,0.62,1.7711143542826175,1.2404747657664121,13.82434368133545,0.13307279348373413,80
0.7833564882509342,0.6869812439249756,1.1781487498790026,11.999999999999998,2.4107639980316162,1.2326152481526136,0.8780769057005642,6.8,2.1154060155153274,1.2373291098147632,0.5622401737399401,3.4499999999999997,1.7973535279929638,1.2351133542530237,0.742885931327115,0.5251250765003059,0.68,0.72,0.59,NPO,519.2103090286255,-0.5151694769935087,0.6580926495036911,0.425482913851738,1,0.14292317251018227,2.042861968278885,1.617379054427147,forget01,1e-05,1.2352177061140537,0.17364689154084773,Llama-2-7b-chat-hf,0.7833564882509342,32,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb32_both_65981_2,0,0.13257704272930576,0.10249932199728798,0.14432463286817065,1.5999999999999999,1.374350928068161,1.2300262951999903,0.1465946595430374,1.5999999999999999,1.3843947386741637,1.2378000791311263,0.078993555945158,1.0,1.312026428580284,1.233032872635126,0.8945252736108105,0.7775715262861052,1.401391032785177,18.4,2.6376511096954345,1.2362600769102574,1.0048972121044992,8.399999999999999,2.2348700207471848,1.2299728086426855,0.6350585797034205,3.85,1.871100704073906,1.2360421243704856,0.6869812439249756,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb32_both_65981_2/summary.json,1.1830950637549162,1.9636922713630078,11.999999999999998,0.6,2.4107639980316162,1.2276689342767,0.8877152168214322,1.7230771931872804,6.8,0.68,2.1154060155153274,1.2276907986938952,0.5601958838872612,1.4528088126491001,3.4499999999999997,0.69,1.7973535279929638,1.2371576441057026,13.992756843566895,0.12425892800092697,80
0.7892223786379806,0.6535190620762482,1.248188862207532,14.399999999999999,2.486400281190872,1.2382114189833402,0.8684519177764654,6.6,2.111255744099617,1.2428038263231516,0.5412447202600539,3.25,1.7817356665432453,1.2404909462831915,0.7480830062864563,0.48714316026407695,0.76,0.7,0.54,NPO,627.2274191379547,-0.5157592840582732,0.6580926495036911,0.425482913851738,1,0.14233336544541783,2.0482350677251815,1.6227521538734435,forget01,1e-05,1.2404192081987857,0.1740466520510614,Llama-2-7b-chat-hf,0.7892223786379806,64,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb64_both_65988_3,0,0.13101279943664962,0.10275314701258806,0.14145249405801286,0.7999999999999999,1.377069398164749,1.2356169041067362,0.1410455536663533,1.5999999999999999,1.3838853096961976,1.2428397560298443,0.0771259108036757,1.0499999999999998,1.3154735797643662,1.2383476689606905,0.9001789081987304,0.7806754774381214,1.4004800221145153,18.4,2.641611738204956,1.2411317160904407,1.0123051006242632,8.6,2.247247238755226,1.2349421381309629,0.6387918730668725,3.8,1.8800321847200394,1.241240311653167,0.6535190620762482,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb64_both_65988_3/summary.json,1.2534972794741392,2.0167038913269986,14.399999999999999,0.72,2.486400281190872,1.2329030017167328,0.8784742596328259,1.7125952739408543,6.6,0.66,2.111255744099617,1.232781484466791,0.5395508824460209,1.4343563770491257,3.25,0.65,1.7817356665432453,1.2421847840972244,14.084490776062012,0.11748187988996506,80
0.7866892178744539,0.6911361405445622,1.229269020751119,13.6,2.4751134443283083,1.2458444235771893,0.8763783944517376,6.3999999999999995,2.127616410851479,1.2512380163997412,0.5698957929141817,3.4,1.8188521583378314,1.2489563654236497,0.8065138034706999,0.6210526922107689,0.72,0.74,0.63,NPO,198.36297130584717,-0.5186276358405955,0.6580926495036911,0.425482913851738,1,0.1394650136630956,2.0684668481349946,1.6429839342832566,forget01,1e-05,1.2491315597593784,0.19232011712156236,Llama-2-7b-chat-hf,0.7866892178744539,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb8_both_65977_0,0,0.13068812121997742,0.10099297997191987,0.14205817637145524,1.5999999999999999,1.3869782054424287,1.2449200290709734,0.1428940587997436,1.5999999999999999,1.394969892501831,1.2520758337020874,0.07797551970779892,1.0499999999999998,1.325117364525795,1.247141844817996,0.909172841867834,0.8011723566894268,1.4255475263535977,19.2,2.675168113708496,1.2496205873548984,1.0199299783632159,8.399999999999999,2.263665105700493,1.243735127337277,0.6345126139841974,3.8,1.8844910550117493,1.2499784410275518,0.6911361405445622,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb1_pb8_both_65977_0/summary.json,1.2333971130818129,1.9933002265047677,13.6,0.68,2.4751134443283083,1.2417163312464954,0.8864077390491965,1.7141488447402633,6.3999999999999995,0.64,2.127616410851479,1.2412086718022823,0.5675905267290768,1.453614585783568,3.4,0.68,1.8188521583378314,1.2512616316087546,14.069082260131836,0.14162534475326538,80
0.870988057552175,0.7515700142800571,1.3912399429112672,17.599999999999998,2.7164864206314085,1.3252464777201414,0.9603921298831701,7.3999999999999995,2.290817221403122,1.330425091519952,0.6084879882790148,3.55,1.9365838754177094,1.3280958871386945,0.9770282062862737,0.9517546230184921,0.96,0.94,0.91,NPO,299.66169333457947,-0.5299397258223638,0.655894544891918,0.429169750213623,2,0.12595481906955422,2.175311279296875,1.746141529083252,forget01,1e-05,1.328656905800104,0.4006227838993073,Llama-2-7b-chat-hf,0.870988057552175,16,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb16_both_65993_6,0,0.12057235459876835,0.08495035580142321,0.10804792834222332,0.7999999999999999,1.4329767644405365,1.3249288360983131,0.11711032628416995,1.5999999999999999,1.44937304854393,1.33226272225976,0.06478323420584187,0.8999999999999999,1.3923371279239654,1.3275538937181235,0.839210010217285,0.6798501434005735,1.3916374352991578,17.599999999999998,2.719446141719818,1.3278087064206603,0.9713500484988093,7.6,2.2955984860658645,1.3242484375670551,0.5916062522046268,3.4,1.9207030886411667,1.3290968364365399,0.7515700142800571,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb16_both_65993_6/summary.json,1.39499967456758,2.055628956342329,17.599999999999998,0.88,2.7164864206314085,1.3214867460638287,0.9708006417512896,1.7354457941788488,7.3999999999999995,0.74,2.290817221403122,1.3200165796518326,0.6047479032598435,1.4540708585007052,3.55,0.71,1.9365838754177094,1.3318359721578659,14.029943466186523,0.005364234559237957,80
0.8984963530100586,0.7957176148704593,1.3991218208581209,18.4,2.697325870990753,1.2982040501326322,0.9661235915452242,7.3999999999999995,2.270517820715904,1.3043942291706798,0.6310211656548086,3.75,1.9326606878638268,1.3016395222090182,0.9745356608378718,0.9386406825627301,0.92,0.92,0.91,NPO,385.3047354221344,-0.5208774561859603,0.655894544891918,0.429169750213623,2,0.1350170887059577,2.1048579841852186,1.6756882339715957,forget01,1e-05,1.3016566597521304,0.37599908787533637,Llama-2-7b-chat-hf,0.8984963530100586,32,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb32_both_65994_7,0,0.12625770692797428,0.08655423421693687,0.1256155562251806,0.7999999999999999,1.422848151922226,1.2972325956970454,0.13461091327667218,1.5999999999999999,1.4394598031044006,1.3048488898277284,0.07388791266679773,1.0,1.3738519728183747,1.299964060151577,0.8799980015368417,0.735253213012852,1.4026312342345713,19.2,2.7043819046020507,1.3017506703674795,0.9879638145014642,7.8,2.2845129972696303,1.296549182768166,0.6220714909069238,3.5999999999999996,1.9245500606298447,1.3024785697229209,0.7957176148704593,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb32_both_65994_7/summary.json,1.4032031111210583,2.084289029320794,18.4,0.92,2.697325870990753,1.2941227598696947,0.9772025057315821,1.7555794742471043,7.3999999999999995,0.74,2.270517820715904,1.293315314984322,0.6283858443580568,1.4817894383893917,3.75,0.75,1.9326606878638268,1.30427484350577,13.84068775177002,0.0072799911722540855,80
0.8984963530100586,0.7957176148704593,1.3991218208581209,18.4,2.697325870990753,1.2982040501326322,0.9661235915452242,7.3999999999999995,2.270517820715904,1.3043942291706798,0.6310211656548086,3.75,1.9326606878638268,1.3016395222090182,0.9745356608378718,0.9386406825627301,0.92,0.92,0.91,NPO,434.5936336517334,-0.5208774561859603,0.655894544891918,0.429169750213623,2,0.1350170887059577,2.1048579841852186,1.6756882339715957,forget01,1e-05,1.3016566597521304,0.37599908787533637,Llama-2-7b-chat-hf,0.8984963530100586,64,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb64_both_65995_8,0,0.12625770692797428,0.08655423421693687,0.1256155562251806,0.7999999999999999,1.422848151922226,1.2972325956970454,0.13461091327667218,1.5999999999999999,1.4394598031044006,1.3048488898277284,0.07388791266679773,1.0,1.3738519728183747,1.299964060151577,0.8799980015368417,0.735253213012852,1.4026312342345713,19.2,2.7043819046020507,1.3017506703674795,0.9879638145014642,7.8,2.2845129972696303,1.296549182768166,0.6220714909069238,3.5999999999999996,1.9245500606298447,1.3024785697229209,0.7957176148704593,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb64_both_65995_8/summary.json,1.4032031111210583,2.084289029320794,18.4,0.92,2.697325870990753,1.2941227598696947,0.9772025057315821,1.7555794742471043,7.3999999999999995,0.74,2.270517820715904,1.293315314984322,0.6283858443580568,1.4817894383893917,3.75,0.75,1.9326606878638268,1.30427484350577,13.84068775177002,0.0072799911722540855,80
0.8722370428817774,0.7296059904239616,1.3804553258806467,17.599999999999998,2.69447772026062,1.3140223943799734,0.9677438235074285,7.6,2.287100529074669,1.3193567055672406,0.6084062563903632,3.4,1.9256067508459092,1.317200494455546,0.9848296823799011,0.9697275269101076,0.92,0.94,0.92,NPO,190.23151016235352,-0.5266863636046581,0.655894544891918,0.429169750213623,2,0.12920818128725986,2.1496390223503115,1.7204692721366883,forget01,1e-05,1.3175937050879,0.46329606941342355,Llama-2-7b-chat-hf,0.8722370428817774,8,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb8_both_65992_5,0,0.12265666089959562,0.08566987867951471,0.11366938496530055,0.7999999999999999,1.4273168075084686,1.313647422543168,0.12193805459141704,1.5999999999999999,1.4428640115261078,1.3209259569346907,0.06673891991078862,0.8999999999999999,1.3829688799381257,1.316229960027337,0.8542429647317846,0.6920228960915843,1.401600325912237,19.2,2.718730592727661,1.3171302668154241,0.988233079956472,7.6,2.301069604754448,1.3128365247979759,0.5995412024401128,3.4,1.91769999563694,1.3181587931968273,0.7296059904239616,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed0_fb2_pb8_both_65992_5/summary.json,1.3839929830878972,2.056092409037715,17.599999999999998,0.88,2.69447772026062,1.3104847371727228,0.9778949216008188,1.7469376208124368,7.6,0.76,2.287100529074669,1.3092056074738503,0.6048366459272803,1.4579424107759795,3.4,0.68,1.9256067508459092,1.320770104918629,13.962324142456055,0.005658595822751522,80
0.7878351034048904,0.5977173988695954,1.2010446551531553,13.6,2.4438081157207487,1.2427634605675935,0.8664267345517871,6.8,2.1115011370182035,1.2450744024664164,0.5546545476444067,3.4499999999999997,1.7937223836779594,1.2390678360335527,0.780739964013005,0.5067231468925876,0.72,0.74,0.69,NPO,626.1225833892822,-0.5061752927867416,0.658092649503691,0.425482913851738,1,0.1519173567169495,1.985241374373436,1.559758460521698,forget01,1e-05,1.240609226167202,0.2125110211133957,Llama-2-7b-chat-hf,0.7878351034048904,128,1e-05,retain99,Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb1_pb128_both_66015_13,1,0.15796862606820106,0.060818259273037086,0.35362123858630645,3.1999999999999997,1.5931761395931243,1.2395549010068179,0.2177369651287795,2.0,1.4619223481416703,1.2441853830128908,0.098219407106936,1.0499999999999998,1.3388064271211624,1.2405870200142264,0.9165930918682984,0.8174523898095593,1.3637192976117134,16.799999999999997,2.6043735003471373,1.240654202735424,0.9648804897204044,8.6,2.2119231748580934,1.247042685137689,0.6431604171894492,3.8,1.8840791600942612,1.240918742904812,0.5977173988695954,results/piper_pi_required/Llama-2-7b-chat-hf_forget01_retain99_NPO_seed1_fb1_pb128_both_66015_13/summary.json,1.1985028653115033,1.9624169374678526,13.6,0.68,2.4438081157207487,1.2453052504092454,0.8784355892583724,1.7123997510548148,6.8,0.68,2.1115011370182035,1.2330655477598311,0.5501275962069629,1.4423688501667937,3.4499999999999997,0.69,1.7937223836779594,1.2435947874709965,14.594343185424805,0.013469455763697624,80
