model,forget_split,trainer,run_tag,result_type,checkpoint,model_utility,forget_quality,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,privleak,mtime,summary_path,task_name
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,120,0.49103907555349247,0.5452713464323318,0.6730915418085515,0.08406387329101563,0.24639789388677946,0.06548691478851577,23.863903697637408,2026-07-07T22:00:59,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-120/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,13,0.5086265484644282,1.2127544312107394e-10,0.5645760546205829,0.470693359375,0.38143227121557294,0.17519512414381924,-90.54658091428065,2026-07-07T21:31:40,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-13/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,26,0.2881576670267299,0.03956202584899502,0.7114492367053259,0.110546875,0.15718551107188644,0.06263877714248954,-40.060382678786,2026-07-07T21:33:51,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-26/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,39,0.3490200459652566,0.0878382826713132,0.7200696574753763,0.131519775390625,0.15886950939937056,0.06848762484463898,-23.292424714038194,2026-07-07T21:36:30,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-39/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,52,0.3795983077954345,0.0878382826713132,0.7112199292924636,0.1273333740234375,0.16726245864278028,0.06871296367625744,-5.885351316517359,2026-07-07T21:40:10,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-52/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,65,0.43532477553191207,0.17793352788293415,0.6994460280283664,0.11986282348632812,0.2310536732014214,0.06561270399190923,0.9243648053757318,2026-07-07T21:43:36,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-65/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,78,0.4661318527419004,0.39352743357720954,0.6844307430793066,0.09990425109863281,0.23196964434582687,0.06308125872812559,10.247412169032723,2026-07-07T21:46:54,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-78/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,91,0.48070034741147044,0.46628639073563594,0.6784905359847501,0.08782157897949219,0.2338070760786129,0.06756837313330291,19.15483845370847,2026-07-07T21:49:48,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-91/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,final,,0.48999871352909674,0.5452713464323318,0.672262239410947,0.08401443481445313,0.2450316157684812,0.06530717622642426,30.603042655175184,2026-07-07T22:02:31,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget10,GradAscent,retry1,checkpoint,0,0.6007089968202051,3.4004838027527454e-21,0.4756858977962338,0.880498046875,0.8190670204567386,0.7041641356725213,-99.4523293556393,2026-07-07T19:59:48,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1/checkpoint-0/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_retry1
