model,method,split,slot,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,SimNPO_sago,forget,core_themes,forget_Q_A_Prob,0.9840743005275726,0.011376321384259288,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,core_themes,forget_truth_ratio,23.55073075786479,66.48261474328892,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,genre_and_core_themes,exact_memorization,0.9643528938293457,0.040541463870264936,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,genre_and_core_themes,extraction_strength,0.6163614074712473,0.48052386774317635,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,genre_and_core_themes,forget_Q_A_Prob,0.9073791682720185,0.1025525747438376,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,genre_and_core_themes,forget_truth_ratio,1.6551568447431868,0.9015057284478023,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,representative_work,exact_memorization,1.0,0.0,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,representative_work,extraction_strength,1.0,0.0,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,representative_work,forget_Q_A_Prob,0.986169308423996,0.006487464665942312,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,representative_work,forget_truth_ratio,5.229092633505421,6.824467959488552,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,writing_style,exact_memorization,0.9805925965309144,0.03855300680703422,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,writing_style,extraction_strength,0.7644444444444445,0.37973028877290405,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,writing_style,forget_Q_A_Prob,0.9312147796154022,0.08612067535648722,10
Llama-3.2-1B-Instruct,SimNPO_sago,forget,writing_style,forget_truth_ratio,4.416945968173308,5.388647114794038,10
Llama-3.2-1B-Instruct,SimNPO_sago,retain,authored_book,retain_Q_A_Prob,0.9931524777412415,0.011467042377257531,25
Llama-3.2-1B-Instruct,SimNPO_sago,retain,authored_book,retain_truth_ratio,0.22204988344831278,0.22532777805897222,25
Llama-3.2-1B-Instruct,SimNPO_sago,retain,award_target_author,retain_Q_A_Prob,0.9992332458496094,0.0005960171592987068,4
Llama-3.2-1B-Instruct,SimNPO_sago,retain,award_target_author,retain_truth_ratio,0.20848230167431114,0.12199531461473889,4
Llama-3.2-1B-Instruct,SimNPO_sago,retain,award_target_book,retain_Q_A_Prob,0.9800136148929596,0.026035800758288964,10
Llama-3.2-1B-Instruct,SimNPO_sago,retain,award_target_book,retain_truth_ratio,0.40498328329061817,0.307302658937128,10
Llama-3.2-1B-Instruct,SimNPO_sago,retain,birth_year,retain_Q_A_Prob,0.9957425329420302,0.0043417835896694245,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,birth_year,retain_truth_ratio,0.18486212207975422,0.19156542350814307,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,birthplace,retain_Q_A_Prob,0.9960384832488166,0.003538860536504199,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,birthplace,retain_truth_ratio,0.23612996481985327,0.1997868460797727,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_award_link,retain_Q_A_Prob,0.9896417483687401,0.011513952747436084,8
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_award_link,retain_truth_ratio,0.30850595438920625,0.3135479287274243,8
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_theme_link,retain_Q_A_Prob,0.9940145909786224,0.007370851601827703,2
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_theme_link,retain_truth_ratio,0.37854734983451543,0.34447538414574863,2
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_title,retain_Q_A_Prob,0.9946341753005982,0.009518365032778961,25
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_title,retain_truth_ratio,0.21861836122475758,0.22656970503761037,25
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_year,retain_Q_A_Prob,0.9639699943363667,0.06638335026576547,16
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_year,retain_truth_ratio,0.1869978161766747,0.16719266154286583,16
Llama-3.2-1B-Instruct,SimNPO_sago,retain,father_profession,retain_Q_A_Prob,0.9907916585604349,0.006460908301279138,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,father_profession,retain_truth_ratio,0.2490758501493461,0.2448545455986557,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,full_name,retain_Q_A_Prob,0.9946341753005982,0.009518365032778961,25
Llama-3.2-1B-Instruct,SimNPO_sago,retain,full_name,retain_truth_ratio,0.21861836122475758,0.22656970503761037,25
Llama-3.2-1B-Instruct,SimNPO_sago,retain,mother_profession,retain_Q_A_Prob,0.9982141786151462,0.001105343252841168,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,mother_profession,retain_truth_ratio,0.20465685828489877,0.17256110948355405,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,primary_genre,retain_Q_A_Prob,0.9943104651239183,0.012741977398216421,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,primary_genre,retain_truth_ratio,0.1708742561374889,0.1491680630552682,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,representative_book,retain_Q_A_Prob,0.9708253741264343,0.0568947309314192,18
Llama-3.2-1B-Instruct,SimNPO_sago,retain,representative_book,retain_truth_ratio,0.13403862765063074,0.08376640156391467,18
Llama-3.2-1B-Instruct,SimNPO_sago,retain,representative_book_award,retain_Q_A_Prob,0.9804449246989356,0.03989447278851717,18
Llama-3.2-1B-Instruct,SimNPO_sago,retain,representative_book_award,retain_truth_ratio,0.27352232842372,0.2575430913936451,18
Llama-3.2-1B-Instruct,SimNPO_sago,retain,residence_history,retain_Q_A_Prob,0.9983876943588257,0.0006971248843828086,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,residence_history,retain_truth_ratio,0.2271977886247779,0.24217840465296886,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,residence_link,retain_Q_A_Prob,0.968425969282786,0.0657818497754203,24
Llama-3.2-1B-Instruct,SimNPO_sago,retain,residence_link,retain_truth_ratio,0.22824511175828377,0.18470502816433376,24
Llama-3.2-1B-Instruct,SimNPO_sago,retain,selected_award,retain_Q_A_Prob,0.9678228497505188,0.04479881237217433,18
Llama-3.2-1B-Instruct,SimNPO_sago,retain,selected_award,retain_truth_ratio,0.2595688794012748,0.2757843844350201,18
Llama-3.2-1B-Instruct,SimNPO_sago,retain,synthetic_contact_token,retain_Q_A_Prob,0.9852884411811829,0.028884755715689384,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,synthetic_contact_token,retain_truth_ratio,0.24858961747779107,0.21475422665037439,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,synthetic_private_id,retain_Q_A_Prob,0.9924847748544481,0.009066575697167276,9
Llama-3.2-1B-Instruct,SimNPO_sago,retain,synthetic_private_id,retain_truth_ratio,0.2133760679198018,0.16059980457662623,9
